project,regime,algorithm,workers,reps,median_s,mean_s,std_s,run_cv,planned_s,planned_to_exec_ratio,overhead_us,overhead_share_pct,native_s,seq_s,vs_rr_pct,vs_qty_pct,vs_lpt_pct,vs_native_pct,exec_success_count,exec_error_count,result_dir
goreleaser,warm,FFD-Multifit,8,5,89.272266039,89.37503534,0.525386724,0.005878450531530722,34.211,0.3832209208742879,267.309,0.00029943118043315026,41.822685381,189.699667816,-84.29416585379667,-87.3030173937173,-151.1242792460141,-113.45417020867889,5,0,20260707-140842
goreleaser,warm,LPT,8,5,35.549038232,35.841560541,0.502581324,0.014022305848683275,34.211,0.9623607754654936,39.54,0.00011122663781212364,41.822685381,189.699667816,26.612366431820504,25.414214047290212,0.0,15.000584232809953,5,0,20260707-140842
goreleaser,warm,Quantity,8,5,47.661947619,47.588535729,0.761662239,0.016005162321812105,40.2565,0.8446255768186887,9.96,2.0897173736201952e-05,41.822685381,189.699667816,1.6064084721048117,0.0,-34.07380336972488,-13.961949561117311,5,0,20260707-140842
goreleaser,warm,Round-Robin,8,5,48.440093383,48.640635972,0.627426873,0.012899232513349096,34.686,0.7160597260981544,6.26,1.292317905026364e-05,41.822685381,189.699667816,0.0,-1.6326352632929197,-36.262739562377014,-15.822532536388204,5,0,20260707-140842
grpc-go,cold,FFD-Multifit,2,5,449.858046217,450.597835146,12.591400355,0.027943765754933576,168.180999999,0.3738534887022423,187.76,4.173761069273603e-05,323.376258063,641.503983702,1.0833279979041235,-11.813974082391905,-19.127259974529636,-39.11288630514081,5,0,20260706-070547
grpc-go,cold,LPT,2,5,377.628131725,382.442609877,8.870810633,0.023195141973989253,168.181999995,0.4453640655073736,33.62,8.902938413625148e-06,323.376258063,641.503983702,16.965544222837785,6.139053222328265,0.0,-16.776702775573167,5,0,20260706-070547
grpc-go,cold,Quantity,2,5,402.327213489,401.578475308,7.08706338,0.01764801605605084,170.639499998,0.4241311407155545,10.35,2.572532916738176e-06,323.376258063,641.503983702,11.534606641198932,0.0,-6.540583099880538,-24.414580061910037,5,0,20260706-070547
grpc-go,cold,Round-Robin,2,5,454.784857913,455.945505202,4.395778144,0.009641016511507257,245.461999997,0.5397321298765771,10.75,2.3637550399834258e-06,323.376258063,641.503983702,0.0,-13.038552368626755,-20.431932821198767,-40.63644023748923,5,0,20260706-070547
grpc-go,cold,FFD-Multifit,4,5,334.928884461,347.024196469,29.682791384,0.08553522113450551,84.090999999,0.2510712091443752,281.11,8.393125019730366e-05,196.978583076,641.503983702,5.407048732002814,-8.275885591349807,-31.123880964106622,-70.0331473761159,5,0,20260706-070547
grpc-go,cold,LPT,4,5,255.429355811,262.194521137,12.976679733,0.049492566346264415,84.091999998,0.32921822838649073,35.35,1.3839442959781235e-05,196.978583076,641.503983702,27.85986002512333,17.424740028104523,0.0,-29.673668996008562,5,0,20260706-070547
grpc-go,cold,Quantity,4,5,309.329157302,317.499396092,20.40053836,0.06425378634134048,134.044499997,0.4333393630466316,12.91,4.1735477226273525e-06,196.978583076,641.503983702,12.637102202972658,0.0,-21.10164719316057,-57.03694912997314,5,0,20260706-070547
grpc-go,cold,Round-Robin,4,5,354.073828939,360.79574683,12.835372411,0.03557517660275463,180.760999999,0.5105178220617418,8.88,2.507951527117767e-06,196.978583076,641.503983702,0.0,-14.465067576321461,-38.61908229568965,-79.7524499414173,5,0,20260706-070547
grpc-go,cold,FFD-Multifit,8,5,238.507227167,236.676942641,8.111098364,0.03427075858548335,53.143,0.2228150510625403,177.95,7.460989845620127e-05,129.965106565,641.503983702,17.77187446684167,-1.4723202225599867,-16.326516660523097,-83.51635563636025,5,0,20260706-070547
grpc-go,cold,LPT,8,5,205.032553208,204.294883155,5.750010926,0.0281456433817651,53.143,0.25919298749641895,33.37,1.627546429963589e-05,129.965106565,641.503983702,29.312655537408087,12.769398469406823,0.0,-57.75969306458128,5,0,20260706-070547
grpc-go,cold,Quantity,8,5,235.046588709,233.558438651,4.924165133,0.021083225086797424,85.525499999,0.36386616146505774,10.349,4.4029569017964366e-06,129.965106565,641.503983702,18.96496960668015,0.0,-14.638668363336219,-80.85361134332246,5,0,20260706-070547
grpc-go,cold,Round-Robin,8,5,290.055532241,298.648912643,18.804546359,0.06296539368780038,129.3775,0.4460438971820866,13.531,4.6649687718272595e-06,129.965106565,641.503983702,0.0,-23.403421353246674,-41.468038954158885,-123.17954403856335,5,0,20260706-070547
